Book	Chapter	Question Number	Question	Reference Verse	Correct Answer	Answer A	Answer B	Answer C	Answer D
Luk	15	4	In the parable of the lost sheep, how many sheep did the man have?	4	B	Ninety-nine	One hundred	Ten	One
Luk	15	5	What did the man in the parable of the lost sheep do when he found his lost sheep?	5	A	Laid it over his shoulders rejoicing	Hid it from his neighbors	Sacrificed the sheep	Put it in a special pen
Luk	15	6	Which of the following causes ‘more’ rejoicing in heaven, according to Luke 15?	7	D	A sinless flock	Coins that are never lost	Ninety-nine righteous people being good	One sinner repenting
Luk	15	7	In the parable of the woman with the lost coin, how many silver coins did the woman have?	8	C	One	Five	Ten	Twenty
Luk	15	8	What kind of coin was the ‘silver coin’?	8	A	Drachmas	Assarius	Denarius	Penny
Luk	15	9	According to the parable of the lost coin, how does the woman go about finding her lost coin?	8	D	Lights a lamp	Seeks diligently	Sweeps the house	All of the above
Luk	15	10	What did the woman do when she found her lost coin?	9	A	Calls together her friends to rejoice with her	Immediately hid the coin	Took the coin to the bank	Converted it to cryptocurrency
Luk	15	11	In the parable of the prodigal son, how many sons did the father have?	11	B	One	Two	Three	Four
Luk	15	12	Which of the sons wanted his inheritance immediately instead of after his father died?	12	C	The older son	Both Sons	The younger son	Text doesn’t say
Luk	15	13	What did the son tell his father he wanted?	12	D	To be allowed to leave his home	To be allowed to work for another man	All of the father’s estate	His share of property
Luk	15	14	According to the parable of the prodigal son, where did the younger son go after receiving his property from his father?	13	D	The land of no return	The largest city	The east	A far country
Luk	15	15	What became of all the property the younger son took along with him?	13	C	He donated it.	He invested it.	He squandered it.	It was stolen from him.
Luk	15	16	According to the parable of the prodigal son, what did the younger son spend the money on?	13	B	Ambitious living	Reckless living	Immoral living	Covetous living
Luk	15	17	According to the parable of the prodigal son, what arose in the country after the son had spent everything?	14	A	Famine	Unemployment	Pigs	Indebtedness
Luk	15	18	According to the parable of the prodigal son, what did the younger son do when he began to be in need?	15	C	He took a job as a shepherd	He went around begging.	He took a job to take care of pigs	He swept out horse stalls
Luk	15	19	Who gave the younger son something to eat, as he longed to eat pods that pigs were eating?	16	C	His father	His brother	No one	His master
Luk	15	20	Whom did the younger son realize had food to spare?	17	A	His father’s hired servants	His master’s other servants	His older brother	His father’s pigs
Luk	15	21	With what was the father filled when he saw his younger son returning?	20	B	Shame	Compassion	Anger	Pity
Luk	15	22	What did the father do for the son who returned?	22	D	Gave him the best robe	Put a ring on his hand	Put shoes on his feet	All of the above
Luk	15	23	According to the parable of the prodigal son, why did the father hold a feast?	23-24	B	He held a feast because he missed his younger son so much	He held a feast because his ‘son was dead, and is alive again; he was lost, and is found’	He held a feast to celebrate the hard work of his elder son	He held a feast to celebrate the bumper harvest
Luk	15	24	According to the parable of the prodigal son, where was the older son when his brother returned home?	25	C	On a journey	In his chamber	In the field	He had gone on an errand.
Luk	15	25	What did the older son hear as he returned home from the field?	25	C	Singing and praying	Weeping and gnashing of teeth	Music and dancing	Complete silence
Luk	15	26	What reason did the servant give the older brother for the fattened calf being killed?	27	B	It was the older son’s birthday	The younger brother returned safe and sound	The father was retiring	The harvest had been bountiful
Luk	15	27	Who refused to go in to the feast held for the younger brother?	28	A	The older brother	The servants	The father	The younger brother himself
Luk	15	28	Who had never disobeyed his fathers command?	29	B	The younger brother	The older brother	The hired hand	Text doesn’t say
Luk	15	29	Who had served the father for many years?	29	B	The younger brother	The older brother	The hired hand	Text doesn’t say
Luk	15	30	Who had never been given a party to celebrate with his friends?	29	B	The younger brother	The older brother	The hired hand	Text doesn’t say
Luk	15	31	To whom did the father say,”You are always with me, and all that is mine is yours?”	31	C	The younger son	His chief servant	The older son	The foreigner who gave the son a job
Luk	15	32	How many parables are in Luke 15?	7,8,11	B	4	3	1	5
Luk	16	1	In the parable of the dishonest manager, of what was the rich man’s manager accused?	1	D	Stealing his owner’s possessions	Selling his owner’s possessions	Wasting his own possessions	Wasting the rich man’s possessions
Luk	16	2	Why did the rich man order the manager to give an account of his management?	2	C	So he might give him a raise	So he might reduce his pay	Because he would no longer be his manager	Because he was giving him more responsibility
Luk	16	3	Why did the steward write off some of the debts of his master's debtors to make friends with them?	4	A	So they would receive him into their house when he was removed from management	So that he can usurp some of his master's possession for himself	So that his master will not see that he is corrupt	So that his master will do him a favor.
Luk	16	4	Why did the master commend the dishonest manager?	8	A	His shrewdness	He acted honestly for once	He sowed compassion	He made the master look generous
Luk	16	5	In Luke 16, what did Jesus say people should use unrighteous wealth to receive?	9	B	Power	Friends	Respect	More wealth
Luk	16	6	What did Jesus say that people who are dishonest with ‘very little’ will also be dishonest with?	10	C	Nothing	All things	In much	The Lord
Luk	16	7	Why is it that no servant can serve two masters?	13	D	serving two masters is a difficult task	he will hate one and love the other	he will be devoted to one and despise the other	B & C
Luk	16	8	Why did some Pharisees ridicule Jesus when they heard him teaching?	14	B	It was because they were covetous.	Because they were lovers of money	Because they feared His teachings	It was because they wanted to provoke him
Luk	16	9	According to Jesus in Luke 16, what did God know about the Pharisees?	15	B	The judgments they made of others	Their hearts	Their good deeds	Their sins
Luk	16	10	What word is used to describe the way God sees the things people highly value?	15	A	Abomination	Valuable	Worthless	Glorious
Luk	16	11	Since when did they begin to preach the kingdom of God?	16	D	Since the day Jesus resurrected	Since the day Jesus died.	Since the days of the prophets	Since the days of John (the Baptist)
Luk	16	12	What was proclaimed until John?	16	A	The Law and the Prophets	Two baptisms for repentance	Baptism for eternal salvation	Love beyond measure
Luk	16	13	According to Jesus in Luke 16, what sin does one who marries a divorced woman commit?	18	B	Fornication	Adultery	Divisiveness	Selfishness
Luk	16	14	In the parable of the rich man and Lazarus, what did the rich man wear?	19	D	Clothing made of camel’s hair	A robe and a jeweled crown	Sackcloth and ashes	Purple and fine linen
Luk	16	15	How did the rich man dine?	19	C	Dined on gourmet food	Dined on simple food	Feasted sumptuously	Dine on fruits and veggies
Luk	16	16	How many parables are in Luke 16?	1,19	D	4	1	3	2
Luk	16	17	What was wrong with the man who sat at the rich man’s gate?	20	C	Leprosy	Blindness	He was covered with sores	He was hated by his family
Luk	16	18	What did Lazarus long to eat?	21	A	Food that fell from the rich man’s table	Locusts and wild honey	Food  given to the children	Food given to pigs
Luk	16	19	Where did Lazarus go when he died?	22	C	Heaven	The Abyss	Abraham's bosom	The flames of hades.
Luk	16	20	Who carried Lazarus to his destination when he died?	22	B	The rich man	angels	Michael	Jesus
Luk	16	21	Where did the rich man go when he died?	23	C	The Abyss	Abraham's bosom	Hades	Heaven
Luk	16	22	Why did the rich man ask Abraham to have Lazarus dip his finger in water to cool his tongue?	24	B	He was in a desert and parched	He was in anguish in the flame	To humble Lazarus	He had eaten hot food
Luk	16	23	What prevented Lazarus and the rich man from crossing over to one another?	26	A	A great chasm	A lake of fire	A pillar of cloud	A deep sea
Luk	16	24	How many brothers did the rich man have that he wanted Lazarus to warn so they would not end up in torment?	27	C	Three	Four	Five	Six
Luk	16	25	Who did Abraham say the rich man’s family could listen to so that they could avoid torment?	29	B	John and the Apostles	Moses and the Prophets	David and his sons	The scribes and the Pharisees
Luk	16	26	Who told the rich man that even someone rising from the dead could not convince his family to repent?	30-31	C	Jesus	Lazarus	Abraham	The Lord
Luk	17	1	What did Jesus say was sure to come?	1	C	Deaths	Things that cause people to sleep	Temptations to sin	Wars
Luk	17	2	Which of the following would be better than causing a little one to stumble?	2	D	Being cursed	Losing one's life	Causing a grown one to stumble	Being thrown in the sea with a millstone tied around one’s neck
Luk	17	3	What did Jesus say to do if a brother or sister sins?	3	A	Rebuke them	Sin against them	Forgive them immediately	Do not have fellowship with them
Luk	17	4	Under what condition should we forgive a brother who sins against us?	3	D	If he is remorseful about what he did	If he regrets what he did	If he shows love to all.	If he repents
Luk	17	5	If someone sins against you seven times in the day, and repents seven times, what must you do?	4	A	Forgive them	Flee from them	Pray for them	Re-baptize them
Luk	17	6	How many times in a day should we forgive anyone who offends us and seeks our forgiveness?	4	C	Up to the fifth time	Up to the third time	Unlimited	Up to the seventh time.
Luk	17	7	What did the apostles say to the Lord?	5	B	Increase our fame	Increase our faith!	Increase our powers	All of the above
Luk	17	8	Why did Jesus say that if they had faith about the size of a grain of mustard seed, they might say unto a mulberry tree, "Be uprooted and planted in the sea"?	5	B	It was because the twelve disciples asked Jesus to teach them about prayer.	It was because the twelve disciples asked Jesus to increase their faith.	It was because the disciples could not heal the boy who had an epileptic fit.	It was because the disciples did not have faith
Luk	17	9	Who can say, “Be uprooted and planted in the sea,” to a mulberry tree and have it obey?	6	D	The Son of Man	The Twelve	One who has considered the lilies	One with faith like a mustard seed
Luk	17	10	Does a master thank a servant for doing what was commanded?	10	D	Yes, so the master will see their humility	Yes, so the master will raise their wages	No, they have not served wholeheartedly	No, they have only done their duty
Luk	17	11	Where was Jesus when he encountered ten lepers?	11-12	A	Passing between Samaria and Galilee	Entering the gates of Jerusalem	On the road to Damascus	Near Golgotha , the place of the skull
Luk	17	12	Where was Jesus when He met the lepers?	12	A	He was entering a village	He was in Jerusalem.	He was in Capernaum.	He was standing by the sea of Galilee
Luk	17	13	Calling out in loud voices, what did the lepers ask Jesus to do?	13	C	Find their families	Let them die	Have mercy on them	Let them have his cloak
Luk	17	14	Were the lepers healed?	14	B	No	Yes	Most of them	Text doesn’t say
Luk	17	15	At what point did the lepers realize that they had been healed?	14	D	On their way to Jerusalem	On their way to the pool of Siloam	Immediately, Jesus spoke	On their way to see the priests
Luk	17	16	To whom did Jesus instruct the lepers to go show themselves?	14	B	The Pharisees	The priests	The apostles	No one
Luk	17	17	How many lepers returned to Jesus after being healed while praising God in a loud voice?	15	A	One	Two	Three	Four
Luk	17	18	What nationality was the leper who threw himself at Jesus’ feet and thanked Him?	16	D	Galilean	Jewish	Nazarene	Samaritan
Luk	17	19	What had healed the man who fell at Jesus’ feet?	19	B	The priests	His faith	Jesus’ cloak	Water in a pool
Luk	17	20	What was Jesus referring when He spoke of something coming that could not be observed?	20	C	Sins of the past	Spirits rising from the dead	The kingdom of God	Spiritual famines
Luk	17	21	In Luke 17, what did Jesus tell His disciples they would one day long to see?	22	A	One of the days of the Son of Man	His cloak	The scars on his hands	His mother and brothers
Luk	17	22	Who was described as being like lightning, which flashes and lights up the sky from one side to the other?	24	C	The prophets of old	The disciples	The Son of Man	God the Father
Luk	17	23	By what does Luke 17 say the Son of Man will be rejected?	25	D	Brothers in Nazareth	Pharisees in Jerusalem	These prophets of old	This generation
Luk	17	24	In Luke 17, Jesus makes a comparison between His time and the days of two Old Testament men?	26-29	A	Noah and Lot	Abraham and Isaac	Jacob and Esau	David and Jonathan
Luk	17	25	What did God use to destroy Sodom and Gomorrah?	29	B	Hail and rain of fire	Sulfur and fire rained from heaven	Acidic rain.	Flood and tempest
Luk	17	26	On the day the Son of Man is revealed, what should those on housetops do?	30	D	Make a signal to their neighbors	Climb down on the north side	Get their possessions from inside the house	Leave their possessions inside the houses
Luk	17	27	What did Jesus say would happen to whoever tried to preserve their life?	33	C	They will keep it	They will see Jesus	They will lose it	They will cause little ones to stumble
Luk	17	28	What is another word for vultures?	37	D	Turkey	Condor	Buzzard	Eagles
Luk	18	1	What parable did Jesus tell the disciples so that they would pray, and not lose heart?	1	B	The Lost Coin	The Persistent Widow	The Good Samaritan	The Prodigal Son
Luk	18	2	What did the persistent widow want the judge to grant her?	3	D	Repayment from a borrower	Safety from her neighbors	Compensation for an injury	Justice against her adversary
Luk	18	3	Why did the judge grant the persistent widow’s request?	5	D	His term as a judge was ending	The widow was his mother	The widow was his sister	Because the widow kept bothering him
Luk	18	4	What did the judge fear would happen if he didn’t give her justice?	5	C	She would tell lies about him	His wife was nagging him too	She would beat him down by her continual coming	It would be bad for public relations
Luk	18	5	The parable of the Pharisee and the Tax Collector was geared towards who?	9	D	Some who trusted in themselves	Those who thought they were righteous	Those who treated others with contempt	All of the above
Luk	18	6	Who did Jesus contrast in a parable about two men who prayed differently?	10	B	A Pharisee and a Sadducee	A Pharisee and a tax collector	A tax collector and a priest	A Scribe and a Pharisee
Luk	18	7	According to the parable, which of the two men who went to the temple to pray was justified?	14	A	The tax collector	The Pharisee	The scribe	The priest
Luk	18	8	Whose prayer included thanking God he wasn’t an extortioner, unjust adulterer, or a tax collector?	11	D	The Sadducee	One of the Twelve	Another tax collector	The Pharisee
Luk	18	9	Who, when praying aloud included that he fasted twice a week and gave tithes?	12	C	The tax collector	One of the Twelve	The Pharisee	A Sadducee
Luk	18	10	What was the bodily position of the Tax Collector take?	13	D	Stood far off	Wouldn’t look up to heaven	Beat his breast	All of the above
Luk	18	11	Who, when praying said, “God, be merciful to me, a sinner?”	13	A	The tax collector	One of the Twelve	A Pharisee	A Sadducee
Luk	18	12	In Luke 18, who did people bring to Jesus, in hopes that He might touch them?	15	B	Lame	Infants	Lepers	The blind
Luk	18	13	Why did Jesus say, "Let the children come to me, and do not hinder them, for to such belongs the kingdom of God."?	15	C	His disciples drove away some children who want to come and listen to the teachings of Jesus.	He said it because the crowd hindered some children from coming to Jesus to listen to His sermon.	It was because His disciples rebuked those bringing their infants to Jesus.	He said it because some parents stopped their children from going to Jesus.
Luk	18	14	To whom did Jesus say, "Let the children come to me, and do not hinder them, for to such belongs the kingdom of God"?	15	C	The crowd	The parents	His disciples	The children
Luk	18	15	Who asked Jesus, “Good teacher, what must I do to inherit eternal life?”	18	B	A child	A rich ruler	A tax collector	A poor man
Luk	18	16	Who said, regarding the commandments, “All these I have kept from my youth?”	18-21	A	A rich ruler	Jesus	A chief priest	A teacher of the law
Luk	18	17	A rich ruler came to Jesus to ask about how he would inherit the kingdom of God. Why did he become very sad upon making his inquiry?	22-23	B	It was because Jesus said it to his face that he was a hypocrite.	It was because Jesus told him to sell all he had and distribute to the poor.	It was because Jesus told him, "You fool, this night thy soul will be required of you."	It was because Jesus did not give him attention.
Luk	18	18	What did Jesus say when he saw that the rich ruler became sad?	24	D	He said, "Where your treasure is, there your heart will be also."	He said, "Lay not up for yourselves treasures upon earth, where thieves break through and steal."	He said, "Seek ye first the kingdom of God, and all these things shall be added unto you."	He said, "How difficult it is for those who have wealth to enter the kingdom of God!"
Luk	18	19	According to Jesus, it is easier for a camel to go through the eye of a needle than for a rich person to enter what place?	25	C	The temple	Jerusalem	The kingdom of God	The presence of Christ Himself
Luk	18	20	Who will receive “many times more in this time, and in the age to come eternal life?”	30	B	Little children	Those who leave house and family for the sake of the kingdom of God	Those who say, “Lord, Lord!”	Those who go through the eye of a needle
Luk	18	21	To whom did Jesus foretell what would happen to him in Jerusalem?	31	B	The crowd	The twelve disciples	His seventy-two disciples	His three favorite disciples
Luk	18	22	About what does Luke say, “This saying was hidden from them, and they did not grasp what was said?”	31-34	A	Jesus’ death and resurrection	The parable of the persistent widow	The parable of the lost coin	The parable of the lost son
Luk	18	23	Who called out, “Jesus, Son of David, have mercy on me!” when Jesus of Nazareth passed by?	35-38	C	A paralyzed beggar	A leprous beggar	A blind man	A little child
Luk	18	24	How did the blind man at Jericho know that Jesus was passing by?	36	D	He recognized His voice	He knew it from the large crowd of people	He felt His presence	He heard the crowd and inquired what it meant
Luk	18	25	What did the crowd in front of the blind man tell him?	39	A	To be silent	To yell louder	To climb a Sycamore tree	To come to the front of the crowd
Luk	18	26	How did the blind man in Luke 18 respond when Jesus asked, “What do you want me to do for you?”	41	B	He said, “Lord, am I not worthy of your care?”	He said, “Lord, let me recover my sight.”	He wept bitterly, for he had little faith	He rejoiced, knowing the kingdom was at hand
Luk	18	27	When was the blind man’s sight restored after Jesus said, “Recover your sight?”	43	A	Immediately	That very night	The next day	Not until he also repented
Luk	18	28	According to Jesus, what healed the blind man?	42	A	His faith	His father’s faith	His repentance	His love for Jesus
Luk	18	29	How did the people who saw Jesus heal the blind man respond?	43	B	They cried out, “Heal me, too!”	They gave praise to God	They feared him, asking the teachers who he was	They asked, “Who is this man that heals the blind?”
Luk	19	1	What is the name wealthy tax collector who was small in stature in Luke 19?	1-3	B	Zachariah	Zacchaeus	Zephaniah	The Bible does not give his name
Luk	19	2	In which city was Zacchaeus living?	1	A	Jericho	Nazareth	Capernaum	Bethany
Luk	19	3	What prevented Zacchaeus from seeing Jesus?	3	D	The crowd	He was small in stature	The trees	A & B
Luk	19	4	Why did Zacchaeus climb a sycamore tree?	4	B	In order to hide.	In order to see Jesus.	In order to see the multitude.	In order to see beyond ordinary.
Luk	19	5	What did the small, wealthy tax collector climb so that he could see Jesus?	4	C	A fence	An olive tree	A sycamore tree	A cypress tree
Luk	19	6	To whom did Jesus say, “…come down, for I must stay at your house today?”	5	A	Zacchaeus	Peter	Mary and Martha	Lazarus
Luk	19	7	How did Zacchaeus react to the news?	6	D	Confused	Angrily	Excitedly	Joyfully
Luk	19	8	What was the reaction of the people when Jesus said he would go and stay in the house of Zacchaeus?	7	A	They all grumbled	They were angry	They were embittered.	They were grieved.
Luk	19	9	How much of his possessions did Zacchaeus say he would give to the poor?	8	B	All	Half	None	The Bible does not say
Luk	19	10	One of the works Jesus came into this earth to do was what?	10	C	To help us avoid the temptation to sin	To save us from the curse that was upon man	To seek and to save the lost	To preach the Law to the people.
Luk	19	11	In the parable of the Ten Minas, why did the nobleman go to a far country?	12	D	To take gifts to that country’s king	To collect, gold and myrrh	To find a wife	To receive a kingdom
Luk	19	12	To how many of his servants did the nobleman give ten minas?	13	C	Three	Five	Ten	Twenty
Luk	19	13	What command did the nobleman give his servant before his journey?	13	B	He said, "You shall render an account."	He said, "Engage in business until I come."	He said, "Occupy till I come."	He said, "Be diligent."
Luk	19	14	How did the citizens express their hatred for the nobleman?	14	D	They spoke ill of him.	They turned down his invitation to a banquet.	They rioted against him.	They sent a delegation after him, saying ‘We do not want this man to reign over us.’
Luk	19	15	How many minas had the first servant earned when his master returned?	16	C	One	Five	Ten	Twenty
Luk	19	16	How did the nobleman reward the first servant?	17	B	He was made rich in gold and silver	He was given authority over 10 cities.	He was made a ruler over 5 cities.	He was made a ruler over 7 cities.
Luk	19	17	What did the second servant gain with his mina?	18	D	7 minas	3 minas	10 minas	5 minas
Luk	19	18	What reward was given the second servant who came to settle his account?	19	A	He was put over five cities.	He was put over seven cities.	He was put over two cities.	He was put over three cities.
Luk	19	19	Why did the servant who hid the money he received in a napkin do so?	20	B	He did so because he hated the lord and master.	He did so because he was afraid of the lord and master.	He did so because the amount of money he received was very small.	He did so because he was envious of the other servants who received big amounts of money
Luk	19	20	Where had the third servant kept his master’s mina?	20	D	In the ground	In a jar	Under his bed	In a handkerchief
Luk	19	21	What did the master tell the third servant that he should have done with the mina?	23	C	Given it to the poor	Loaned it to the servant who earned ten mina	Put it in the bank	Put it in a piece of cloth
Luk	19	22	To whom did the master give the third servant’s mina?	24	B	The servant who had five minas	The servant who had ten minas	His own son	The master took it back for himself
Luk	19	23	How many parables are in Luke 19?	11-27	C	4	3	1	2
Luk	19	24	Where was Jesus when He sent His disciples to a village to get a colt?	29	C	Abilene	On the Judea-Samaria border.	Mount called Olivet	Bethlehem
Luk	19	25	How many disciples did Jesus send to get the colt?	29	D	3	5	4	2
Luk	19	26	What were the disciples to say to anyone who questioned their untying an animal in the village?	31	D	We have payment for you	It is needed for our long journey	It belongs to the Lord	The Lord has need of it
Luk	19	27	According to Luke 19:36, what did people spread on the road as Jesus went along?	36	C	Coins	Stalks of grain	Their cloaks	Palm leaves
Luk	19	28	What inspired the disciples to praise Jesus while He was riding on the colt?	37	D	His love and compassion for the people	His handsomeness	The glory that shone around him.	The mighty works He had done.
Luk	19	29	Who said that Jesus should rebuke His disciples?	39	A	Pharisees	Sadducees	Elders	Teachers of the law
Luk	19	30	Who said, "if these were silent, the very stones would cry out."?	40	B	The Pharisees.	Jesus	The disciples	The Sadducees
Luk	19	31	And when he was come near, He beheld the city, and wept over it." Which city was that?	41	C	Jericho	Bethel	Jerusalem	Bethany
Luk	19	32	As Jesus wept over Jerusalem, what did he say was hidden from it?	42	A	That that make for peace	Things that were to come	Words of the prophets	Interpretations of dreams
Luk	19	33	What was the major event that followed Jesus’ triumphal entry to Jerusalem?	45	B	The crucifixion	The cleansing of the temple	The arrest of Jesus	The Lord's supper.
Luk	19	34	What did Jesus do when He entered the temple area?	45	C	Whipped the colt upon which he rode	Asked a blind man who he was	Drove out sellers	Wept
Luk	19	35	Though the temple was to have been a house of prayer, what did Jesus say it had been turned into?	46	B	A house of iniquity	A den of robbers	A can of worms	A tent of meeting
Luk	19	36	Why were the chief priests, scribes, and principal men of the people unable to find a way to destroy Jesus?	48	D	He was difficult to find	People were lined up to receive his blessing	People protected him with their own bodies	People were hanging on His words
Luk	20	1	Which group of religious leaders asked Jesus to tell them the source of His authority?	1-2	C	The Sadducees and the Pharisees.	The Pharisees and the scribes.	The chief priests, scribes & elders	The chief priests and the Pharisees
Luk	20	2	Under what condition would Jesus tell the religious leaders the source of His authority?	3	D	If only they would believe in Him.	If only they had been baptized by John the Baptist.	If only they could say 'Hosanna in the highest.'	If only they would tell Him the source of the baptism of John
Luk	20	3	Why is it that the religious leaders could not say John's baptism was from heaven?	5	B	They could not say that because they feared the people	He will say ‘Why did you not believe him?’	They could not say that because John lived in the wilderness and was unkept	They could not say that because John never had friends nor led any social life.
Luk	20	4	Why is it that the religious leaders could not say John's baptism was from man?	6	C	They could not say that because they were not sure.	They could not say that because they also believed in John's ministry	They feared the people would stone them to death	They could not say that because they believed that John was a prophet.
Luk	20	5	Did the religious leaders answer the question of the origin of John’s baptism?	7	C	Yes	No	They said they did know the answer	Text doesn’t say
Luk	20	6	Who said, “Neither will I tell you by what authority I do these things?”	8	A	Jesus, to the chief priests, scribes, & elders	The chief priest to Jesus	Jesus, to the Twelve	A teacher of the law to the Twelve
Luk	20	7	Finally, what answer did Jesus give to the question about the source of His authority?	8	A	He gave no answer	He said it was from Himself.	He said it was from the Father.	He said it was from the Spirit
Luk	20	8	In the parable of the wicked tenants in Luke 20, what did a man plant and rent to tenants?	9	D	A mustard seed	A field of wheat	Fig trees	A vineyard
Luk	20	9	Why did the man send his servant to the tenants?	10	A	To get some fruit of the vineyard	To get some grain	To collect their rent	To cancel their agreement
Luk	20	10	According to the parable of the wicked tenants, what did the tenants do to the servants who were sent to take the master's share of the fruits for him?	10	B	The servants were given more fruit than they can carry	The servants were beaten and sent away with empty hands	The servants were given just a few fruits	The servants were ignored and sent away with empty hands
Luk	20	11	After the tenants rejected the servants the owner sent, who did the owner send?	13	C	His chief servant	His own father	His beloved son	The owner went to the tenants himself
Luk	20	12	According to the parable, why did the owner of the vineyard send his beloved son to the tenants to take his share of the fruit?	13	C	He thought his son is powerful enough to drive out the tenants and seize the vineyard.	He thought the tenants would not recognize his son when they see him.	He thought they would respect him and give him the master’s share of fruit.	He thought his son would be able to outwit the tenant to give him his share of the harvest.
Luk	20	13	What did the tenants do to the last person sent to them by the owner?	14-15	C	They verbally abused him and beat him.	They beat him and sent him away empty.	They cast him out of the vineyard and killed him	They incarcerated him in a cave
Luk	20	14	According to the parable, what would the owner of the vineyard do to these tenants who killed the heir?	16	D	He would incarcerate them	He would impose higher taxes upon them	He would sack them from his vineyard	He would destroy them.
Luk	20	15	What was the response of the Jews when Jesus told them the parable of the vineyard?	16	C	They said, "May the souls of the tenants never find rest."	They said, "May the blood of his son be upon the heads of the tenants."	They said, "Surely not!”	They said, "May the blood of his son be upon their heads."
Luk	20	16	According to the ancient writing of which Jesus reminded the people, what would happen to the stone the builders rejected?	17	D	It would be crushed	It would be broken to pieces	It would be stolen	It has become the cornerstone
Luk	20	17	What did the scribes and chief priests want to do when they realized Jesus had spoken the parable of the wicked tenants against them?	19	C	Kill him	Make him leave	Lay hands on HIm	Fall on their knees, asking for forgiveness
Luk	20	18	Why did the scribes and chief priests decide NOT to do anything to Jesus?	19	B	They did not have authority to arrest Him	They feared the people	Fear of Jesus’s power	The Lord confused their languages
Luk	20	19	Why did the scribes and the chief priests send spies to watch Jesus?	20	B	They want Him assassinated	They wanted to catch Him in something He said	They wanted the spies to find where Jesus was staying	They wanted the spies to seek information from His disciples.
Luk	20	20	What did the sincere-sounding spies plan to do with Jesus if they caught him in something He said?	20	A	Deliver Him to the governor	Kill Him immediately	Report Him to the chief priests	Request that the authorities crucify Him
Luk	20	21	Who asked Jesus, “Is it lawful for us to give tribute to Caesar, or not?”	22	C	The governor	The apostles	Spies	Chief priests and teachers of the law
Luk	20	22	What did Jesus ask to see after being asked about giving tribute to Caesar?	24	A	A denarius	A mina	A drachma	A shekel
Luk	20	23	Whose picture was on the coin that was shown to Jesus?	24	C	Pilate’s	Zeus’s	Caesar’s	There was not an image of a person on it
Luk	20	24	Who said, “Render to Caesar the things that are Caesar’s, and to God the things that are God’s?”	25	D	The spies	The governor	Caesar	Jesus
Luk	20	25	Which religious leaders asked Jesus a question about the resurrection?	27	A	Some Sadducees	Some scribes	Some Pharisees	Some priests
Luk	20	26	In the question about the resurrection, how many brothers did the woman marry?”	27-33	B	Three	Seven	Five	Two
Luk	20	27	Why is it said that God is not a God of the dead, but of the living?	38	D	It is because there is life after death	It is because everyone will die	It is because He gives life	It is because all live to Him
Luk	20	28	After Jesus explained, “He is not the God of the dead, but the of the living,” who responded, “Teacher, you have spoken well?”	39	C	All of the Sadducees who were present	The chief priest	Some of the scribes	All of the apostles
Luk	20	29	According to Luke 20, which of the Jewish religious leaders did Jesus warn His disciples against?	46	B	The Sadducees	The scribes	The Herodians	The Pharisees
Luk	21	1	Who did Jesus see putting their gifts into the offering box?	1	C	The apostles	Widowers	The rich	The poor
Luk	21	2	How much did the poor widow put into the offering box?	2	D	Two very large gold coins	Two very small silver coins	Two very large bronze coins	Two small copper coins
Luk	21	3	What is the small copper coin?	3	A	lepton or two lepta	denarius	shekel	Mite
Luk	21	4	Why did Jesus say the widow gave more offering than the others?	4	C	It was because she gave all her expensive jewelry.	It was because the coins she gave were of gold.	It was because she gave all that she had to live on	It was because she gave a very large sum of money.
Luk	21	5	Who remarked about the temple being adorned with noble stones and offerings?	5	B	Jesus	Some	The rich	A poor widow
Luk	21	6	What prediction did Jesus make about the stones of the temple?	6	D	They would double in number	They would be sold for much money	They would be stacked to reach the heavens	Every stone would be thrown down
Luk	21	7	What did Jesus tell the disciples regarding those who would come in His name claiming, “I am he,” and , “The time is at hand?”	8	B	They should be followed	Do not go after them	They were wolves in sheep’s clothing	They should be regarded as prophets
Luk	21	8	According to Luke 21, which of these are the signs of the end of age?	8-11	D	Famines & pestilence	Earthquakes	Wars	All of the above
Luk	21	9	What shall precede the signs of the end times?	12	A	Persecute you & put you in prisons	Synagogues falling	The fall of the Roman Empire	The rapture
Luk	21	10	Why, according to Jesus, were the disciples told to expect to be persecuted, put in prison, and brought before kings and governors?	12	D	So they could prove their loyalty to him	So they could prove their love for him	Because they denied Christ three times	Because of His name’s sake
Luk	21	11	Why will all men hate the believers?	17	B	Because of envy	Because of His name’s sake	Because of their salvation	Because of the eternal reward
Luk	21	12	Of what was the sight of Jerusalem being surrounded by armies a sign?	20	A	Desolation has come near	Peace being near	His crucifixion	A coming war
Luk	21	13	According to Jesus, if Jerusalem is about to be destroyed, what are you to do if you are in Judea?	21	A	Flee to the mountains	Flee to Samaria	Hide in your basement	Do not come out of your house.
Luk	21	14	According to Jesus, if Jerusalem is about to be destroyed, what should the inhabitants do?	21	B	Lock themselves up in the temple	Depart	Flee to the mountains	Flee to Galilee
Luk	21	15	According to Jesus, how long was Jerusalem to be trampled by the Gentiles?	24	B	Until it was completely destroyed	Until the times of the Gentiles are fulfilled	For 1,000 years	For 10,000 years
Luk	21	16	Where, according to Jesus, would there be signs?	25	D	In the forest	In the fire and the wind	In the clouds	In the sun, moon, stars and earth
Luk	21	17	Why did Jesus say people would faint from fear?	26	B	Fear of his second coming	Foreboding of what is coming on the world	Satan’s appearance	Uncertainty of their own salvation
